Questions,Totalitarian-Libertarian,Collectivist-Individualist,Progressive-Conservative
Should-healthcare-be-free,2,3,3
Should-the-US-adopt-universal-healthcare,2,3,3
Should-US-immigrants-have-free-healthcare,2,3,3
Should-the-US-restrict-medicaid,-2,-2,-2
Should-the-US-restrict-medicare,-2,-2,-2
Should-prescriptions-be-free,2,3,3
Should-the-US-government-invest-more-in-healthcare,2,2,1
Should-the-US-government-invest-in-expanding-healthcare-in-rural-areas,2,2,2
Should-US-mental-healthcare-be-free,2,3,3
Should-we-build-a-US-Mexico-border-wall,2,-2,-3
Should-we-increase-US-border-security,2,0,-2
Should-it-be-easier-to-become-a-US-citizen,-1,2,1
Should-US-immigation-screening-be-more-strict,1,-2,-1
Should-the-US-deport-illegal-immigrants,1,-2,-2
Should-the-US-freely-offer-asylum,0,3,2
Should-the-US-federal-government-aid-sanctuary-cities,2,3,3
Should-DACA-be-repealed,-1,-2,-2
Should-US-immigrants-be-given-Temporary-Protection-Status,1,2,2
Should-the-US-give-more-refugess-asylum,1,2,1
Should-the-US-federal-government-aid-sanctuary-states,2,3,3
Should-the-US-sponsor-immigrant-family-reiunification,0,2,1
Should-the-US-restrict-work-visas,2,-2,-1
Should-the-US-detain-illegal-immigrants,1,-2,-1
Should-US-immigrants-be-treated-better,0,1,0
Should-the-US-have-stricter-gun-control,2,1,2
Should-the-US-have-stricter-background-checks-for-firearm-purchases,2,1,2
Should-handguns-be-banned-in-the-US,3,2,3
Should-automatic-rilfes-stay-restricted-in-the-US,1,1,2
Should-semiautomatic-rifles-be-banned-in-the-US,2,2,3
Should-sniper-rifles-be-banned-in-the-US,2,2,3
Should-it-be-legal-in-the-US-to-conceal-carry,-3,-2,-2
Should-the-US-adopt-gun-storage-laws,2,2,3
Should-the-US-adopt-gun-safety-laws,2,1,2
Should-mental-health-be-used-in-firearm-background-checks-in-the-US,1,2,2
Should-it-be-harder-to-buy-a-gun-in-the-US,2,1,1
Should-the-US-enact-red-flag-laws,2,2,2
Should-the-US-put-limitations-on-gun-magazines,2,2,2
Should-you-need-a-license-to-own-a-gun-in-the-US,2,2,1
Should-we-enact-Stand-Your-Ground-laws,-2,-3,-1
Should-the-US-invest-in-renewable-energy-sources,1,2,1
Should-climate-change-be-taught-in-US-schools,1,1,1
Should-I-believe-climate-change-is-real,0,1,2
Should-the-US-restrict-carbon-emisions,2,2,2
Should-the-US-adopt-stronger-enviromental-protection-regulations,2,2,2
Should-the-US-invest-in-climate-biodiversity,1,1,2
Should-the-US-invest-in-green-infastructure,1,1,2
Should-the-US-invest-in-sustainable-agriculture-practices,1,1,2
Should-the-US-invest-in-ocean-conservation,1,1,2
Should-the-US-invest-in-clean-transportation-initiatives,1,1,2
Should-the-US-work-to-promote-enviromental-justice,2,2,3
Should-the-US-tax-the-rich,2,3,2
Should-I-believe-that-tax-is-theft,-3,-3,-3
Should-the-US-decrease-property-tax,-2,-2,-2
Should-states-decrease-sales-tax,-2,-2,-2
Should-the-US-government-tax-large-coorporations-more,2,2,2
Should-the-US-increase-capital-gains-tax,2,1,2
Should-the-US-decrease-income-tax,-2,-1,-2
Should-the-US-create-more-excise-taxes,1,2,-1
Should-the-US-simplify-income-taxes,-1,0,1
Should-the-US-defund-the-police,-3,-2,3
Should-the-US-increase-police-funding,1,2,-2
Should-the-US-enforce-policing-equality-measures,0,1,2
Should-police-undergo-racial-equality-training,0,1,2
Should-judges-undergo-racial-equality-training,0,1,2
Should-I-believe-the-US-criminal-justice-system-is-racially-biased,0,0,2
Should-the-US-give-reparations-to-historically-discriminated-groups,3,2,3
Should-the-US-government-give-immigrants-voter-rights,0,3,3
Should-affirmative-action-be-illegal,2,-3,-3
Should-the-US-promote-affirmative-action,1,3,2
Should-the-US-enforce-affirmative-action-in-public-school,2,2,2
Should-the-US-enforce-affirmative-action-in-healthcare,2,2,3
Should-the-US-have-more-equal-representation-of-minorities-within-government-represntatives,0,2,1
Should-culutural-apporpriation-be-illegal,3,3,3
Should-the-US-enact-hate-speech-laws,3,3,3
Should-we-repeal-the-2nd-amendment,3,3,3
Should-the-US-enforce-diversity-and-inclusion-initiatives-in-workplaces,2,2,3
Should-gender-identity-be-taught-in-schools,1,1,2
Should-racial-equality-be-taught-in-schools,1,1,2
Should-the-US-make-college-free,3,3,3
Should-the-US-erase-student-loan-debt,2,3,3
Should-the-US-government-provide-student-loans,1,2,1
Should-government-fund-universities,1,2,0
Should-colleges-and-universities-promote-affirmative-action,1,2,2
Should-states-legalize-marajuana,-2,2,2
Should-states-legalize-drugs,-3,1,3
Should-economic-inequality-be-viewed-as-a-problem-in-the-US,0,0,1
Should-the-US-enact-laws-to-address-a-gender-pay-gap,2,1,3
Should-I-believe-that-the-gender-pay-gap-is-real,0,0,2
Should-the-US-enact-laws-to-address-a-racial-pay-gap,2,1,3
Should-I-believe-that-the-racial-pay-gap-is-real,0,0,2
Should-we-increase-the-minimum-wage,1,2,2
Should-the-US-enact-a-universal-income,3,3,3
Should-the-US-restrict-unions,3,-2,1
Should-the-US-reform-bail,-1,2,3
Should-the-US-reform-court-sentancing,-1,2,3
Should-US-law-enforcement-use-social-workers,1,2,2
Should-police-undergo-de-escalation-training,0,1,2
Should-the-US-increase-its-foreign-aid,1,2,1
Should-the-US-prioritize-arms-control-agreements,2,2,1
Should-the-US-prioritize-building-nuclear-deterrents,2,-3,-2
Should-I-vote-for-Donald-Trump,-1,-1,-2
Should-I-vote-for-Joe-Biden,1,1,2
Should-the-US-government-reform-its-electoral-system,0,2,3
Should-federal-elections-use-mail-in-ballots,-1,1,2
Should-US-elections-allow-voting-early,-1,1,2
Should-states-enact-voter-ID-laws,2,-2,2
Should-abortion-be-legalized,-2,-1,-2
Should-the-government-defund-abortion,-3,-2,2
Should-the-government-defund-abortion-clinics,-3,-2,2
